,gang_num_fcijk,worker_num_fcijk,vector_num_fcijk,Mean Squared Calc Time,Mean Squared Rmass Error,Mean Squared Rmom Error,Mean Squared Rener Error
2101,6144,1,224,0.0008133929727666649,7.924229914271793e-59,6.348087011858347e-51,1.5114339253062117e-49
2102,455680,1,64,0.0007743317932999978,9.390528841022916e-59,6.661798514757358e-51,1.6491353802791115e-49
2103,142336,1,64,0.000784930064166664,9.216779989754851e-59,6.54439921088169e-51,1.6992350477059254e-49
2104,308736,1,128,0.0008510040029666653,8.228926615137954e-59,5.694320340287388e-51,1.451196930625836e-49
2105,217600,1,32,0.0007824641584333301,1.5303141245933627e-58,1.0050835099170923e-50,2.7509785777959226e-49
2106,8192,1,192,0.0007961164380666653,6.847402326043744e-59,4.965501166027756e-51,1.1611829370208182e-49
2107,31744,1,32,0.0007977134505333316,1.5054008004883627e-58,1.0065293786216646e-50,2.7472784430449974e-49
2108,60928,1,192,0.0008284930383666659,6.650482116388258e-59,4.897133141436138e-51,1.192065203306727e-49
2109,42496,1,256,0.0008947452029999973,6.525966564072927e-59,4.525458611576002e-51,1.1362749309415991e-49
2110,65024,1,256,0.0008687402170999979,6.38468570894872e-59,4.57355362686516e-51,1.143031187713666e-49
2111,38400,1,192,0.0008011271117666642,6.620500419696408e-59,4.981090138153815e-51,1.1629596230093677e-49
2112,69120,1,96,0.0008704119051666647,8.204892645110348e-59,5.882433142236485e-51,1.4592851326102171e-49
2113,108544,1,96,0.0010331049813333316,8.318743884989134e-59,5.877341783817399e-51,1.4546920674484096e-49
2114,118272,1,32,0.0010417508463666653,1.4596590035863304e-58,1.0064247661300697e-50,2.7058812003617484e-49
2115,233984,1,96,0.0009471535389333309,8.354213477910926e-59,5.90957366075711e-51,1.496525465488149e-49
2116,408576,1,96,0.0007852128959666646,8.24308384116052e-59,5.894264127690119e-51,1.466116311306819e-49
2117,311296,1,640,999998000001.0,999998000001.0,999998000001.0,999998000001.0
2118,44032,1,480,0.0009350212022333308,5.4089540266156935e-59,3.8381187860198885e-51,9.572044938644747e-50
2119,445952,1,96,0.0007513927110333322,8.303343432154464e-59,5.882334241296244e-51,1.4818969989847067e-49
2120,232960,1,96,0.0007927779164333317,8.125286960940844e-59,5.91037548708031e-51,1.4892191971385204e-49
2121,387072,1,96,0.0007528693665333311,8.342511686315678e-59,5.914219105411036e-51,1.4786192765878095e-49
2122,257536,1,96,0.0008262993872999985,8.282044459048412e-59,5.938098577365512e-51,1.4925683765568811e-49
2123,422912,1,96,0.0008113130206666648,8.084807321710815e-59,5.904879723519768e-51,1.456550333470402e-49
2124,282624,1,96,0.000770354905033331,8.191826051613154e-59,5.904972255983722e-51,1.48021601935182e-49
2125,367104,1,96,0.0007793789447333312,8.375512301086514e-59,5.941660139652045e-51,1.464881466162079e-49
2126,2048,1,384,0.0008798806396666647,1.2934780123552166e-58,9.594074670746542e-51,2.451411292795365e-49
2127,367616,1,928,999998000001.0,999998000001.0,999998000001.0,999998000001.0
2128,272384,1,96,0.0008416293676666646,8.50570127573055e-59,5.932263169856446e-51,1.4747760392010384e-49
2129,316416,1,96,0.0007573573511333315,8.390048440091501e-59,5.945193035344875e-51,1.4863886270334769e-49
2130,131072,1,96,0.0007864904912666642,8.370078789917674e-59,5.862691449589212e-51,1.4768153863604232e-49
2131,210944,1,96,0.0007783136983666652,8.431283383998034e-59,5.899896475253481e-51,1.4442197077898123e-49
2132,414208,1,96,0.0009157412271333306,8.229434055916373e-59,5.91918766002122e-51,1.474419066229175e-49
2133,307200,1,608,999998000001.0,999998000001.0,999998000001.0,999998000001.0
2134,418304,1,96,0.0007625128572999983,8.286117076574564e-59,5.951930629812715e-51,1.4513796449317477e-49
2135,409088,1,96,0.0008874717320999984,8.039693247025713e-59,5.918292893602848e-51,1.4405594172091494e-49
2136,505856,1,96,0.0008485982525999983,8.181565922583754e-59,5.91440195137307e-51,1.4446570258355593e-49
2137,81920,1,96,0.0008180145093666648,8.303784488689018e-59,5.878515645523378e-51,1.4661539904405186e-49
2138,40960,1,224,0.0009174164226333313,6.559612411667047e-59,4.569049970426035e-51,1.1537733681638093e-49
2139,56320,1,96,0.0008710139574666639,8.486862125391088e-59,5.94941681029974e-51,1.4975578913437503e-49
2140,49664,1,32,0.0007702704338333314,1.5074873033889996e-58,9.893085962861591e-51,2.7736856837373216e-49
2141,70144,1,64,0.0008235361258333311,9.391888577008004e-59,6.738672199430811e-51,1.7115547872227688e-49
2142,391680,1,96,0.0007388826641666646,8.304216297447013e-59,5.859417474424439e-51,1.4884989969691384e-49
2143,71168,1,160,0.0008038355812333309,7.050531145432501e-59,5.227844275282128e-51,1.2725516562996971e-49
2144,304128,1,96,0.0007890702422666644,8.276242631467228e-59,5.938211861274049e-51,1.4820273304391424e-49
2145,223232,1,544,999998000001.0,999998000001.0,999998000001.0,999998000001.0
